"gene","removed","reason","m_testable","n_pass_delta","sign","median_d","min_abs_d","cm_ratio","cm_dominant","chr","is_XY","class","in_E2F_TARGETS","in_hallmark_E2F","in_shared_KO_up","is_E2f7_E2f8","d_Cardiomyocyte_P0","d_Cardiomyocyte_P7","d_Endothelial_P0","d_Endothelial_P7","d_Fibroblast_P0","d_Fibroblast_P7","d_Immune_Myeloid_P0","d_Immune_Myeloid_P7","d_Mural_Pericyte_P0","d_Mural_Pericyte_P7","d_RBC_P0","NOTE"
"Tbc1d2b",TRUE,"ubiquitous_lenient",11,10,"-",-0.256039895677482,0.0892403709724738,1.27,FALSE,"9",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.47,-0.1809,-0.3693,-0.1165,-0.4723,-0.0892,-0.256,-0.1154,-0.4945,-0.1473,-0.3628,"descriptive_n1_sex_confounded_depth_matched"
"Cfap77",TRUE,"ubiquitous_lenient",11,10,"+",0.246397144347225,0.00532904918943666,0.66,FALSE,"2",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.3216,0.0053,0.3063,0.2179,0.224,0.1205,0.3928,0.1225,0.3382,0.2464,0.298,"descriptive_n1_sex_confounded_depth_matched"
"Myl3",TRUE,"ubiquitous_lenient",11,9,"+",0.226955939373604,0.0329815638957838,0.23,FALSE,"9",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.1078,0.033,0.2222,0.227,0.1403,0.463,0.3081,0.5855,0.3014,0.4777,0.0753,"descriptive_n1_sex_confounded_depth_matched"
"Uba52",TRUE,"ubiquitous_lenient",11,9,"-",-0.217312406587263,0.0122780361814918,1.75,FALSE,"8",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.3415,-0.3041,-0.3039,-0.2173,-0.3936,-0.0141,-0.1846,-0.1495,-0.4543,-0.0123,-0.1639,"descriptive_n1_sex_confounded_depth_matched"
"Fth1",TRUE,"ubiquitous_lenient",11,9,"+",0.217090022765834,0.0721143322183684,0.69,FALSE,"19",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.228,0.0721,0.1134,0.1611,0.2171,0.2581,0.0925,0.3718,0.2942,0.1814,0.2428,"descriptive_n1_sex_confounded_depth_matched"
"Wdr89",TRUE,"ubiquitous_lenient",11,9,"-",-0.195912025465169,0.0638191591503663,1.39,FALSE,"12",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.4264,-0.1199,-0.3281,-0.0918,-0.4708,-0.0638,-0.3335,-0.1347,-0.6125,-0.1351,-0.1959,"descriptive_n1_sex_confounded_depth_matched"
"Zbtb20",TRUE,"ubiquitous_strict",11,11,"-",-0.193097721984236,0.110409718898204,1.31,FALSE,"16",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.2621,-0.2394,-0.2004,-0.1104,-0.1912,-0.1304,-0.2611,-0.1215,-0.1269,-0.2087,-0.1931,"descriptive_n1_sex_confounded_depth_matched"
"Rrm2b",TRUE,"ubiquitous_lenient",11,9,"-",-0.1925958946337,0.0878370934143429,0.69,FALSE,"15",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.1704,-0.1199,-0.0952,-0.2105,-0.2308,-0.1677,-0.1926,-0.2229,-0.2305,-0.2759,-0.0878,"descriptive_n1_sex_confounded_depth_matched"
"Arih1",TRUE,"ubiquitous_lenient",11,9,"-",-0.189092716815646,0.0956659550878904,1.27,FALSE,"9",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.2522,-0.1891,-0.2258,-0.174,-0.3031,-0.0957,-0.1893,-0.1143,-0.3753,-0.098,-0.1007,"descriptive_n1_sex_confounded_depth_matched"
"Tafa2",TRUE,"ubiquitous_strict",6,6,"+",0.184944888966408,0.157003136309978,0.99,FALSE,"10",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.1836,-0.0011,0.1863,0.0021,0.1913,0.0012,0.2277,0,0.157,0.0084,0.1641,"descriptive_n1_sex_confounded_depth_matched"
"Pfn1",TRUE,"ubiquitous_lenient",11,9,"+",0.178128961589604,0.0464546535722734,0.77,FALSE,"11",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.2271,0.0465,0.1415,0.1245,0.2404,0.1813,0.4036,0.1781,0.1666,0.0829,0.3321,"descriptive_n1_sex_confounded_depth_matched"
"Uty",TRUE,"blocklist",11,11,"+",0.174582968336562,0.103643937840623,0.73,FALSE,"Y",TRUE,"other",FALSE,FALSE,TRUE,FALSE,0.1213,0.135,0.2753,0.1907,0.2036,0.1338,0.2764,0.1746,0.1751,0.1127,0.1036,"descriptive_n1_sex_confounded_depth_matched"
"Btbd9",TRUE,"ubiquitous_strict",11,11,"-",-0.167003447332755,0.107057388433967,0.76,FALSE,"17",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.1602,-0.1187,-0.167,-0.1071,-0.1844,-0.2204,-0.1606,-0.1827,-0.2584,-0.2918,-0.1644,"descriptive_n1_sex_confounded_depth_matched"
"Eif1",TRUE,"ubiquitous_lenient",11,10,"+",0.164727597332637,0.0940318422507067,0.73,FALSE,"11",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.1645,0.1002,0.094,0.3573,0.1011,0.1647,0.1987,0.1814,0.1631,0.2618,0.2128,"descriptive_n1_sex_confounded_depth_matched"
"Scarb2",TRUE,"ubiquitous_lenient",11,10,"+",0.164261317980143,0.0571024862066137,1.12,FALSE,"5",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.1643,0.1923,0.1317,0.1047,0.1558,0.2209,0.159,0.1955,0.1765,0.0571,0.169,"descriptive_n1_sex_confounded_depth_matched"
"Ubb",TRUE,"ubiquitous_lenient",11,10,"+",0.160096725635502,0.0863223466812322,1.54,FALSE,"11",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.2778,0.1601,0.1667,0.1328,0.1417,0.104,0.2561,0.2345,0.0863,0.1088,0.2945,"descriptive_n1_sex_confounded_depth_matched"
"Hnrnpdl",TRUE,"ubiquitous_lenient",11,10,"+",0.158979306050161,0.0842829572721698,0.61,FALSE,"5",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.1243,0.0843,0.1225,0.1975,0.1715,0.2836,0.106,0.1553,0.159,0.3836,0.1876,"descriptive_n1_sex_confounded_depth_matched"
"Krtcap2",TRUE,"ubiquitous_lenient",11,10,"-",-0.151329128764039,0.0570103295983126,0.92,FALSE,"3",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.1622,-0.1175,-0.2652,-0.1513,-0.3208,-0.222,-0.057,-0.118,-0.3217,-0.1184,-0.1411,"descriptive_n1_sex_confounded_depth_matched"
"Psmd3",TRUE,"ubiquitous_lenient",11,9,"+",0.147193446376495,0.0379041706538665,1.35,FALSE,"11",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.2033,0.1472,0.1299,0.2708,0.1609,0.2423,0.1155,0.1159,0.0609,0.3547,0.0379,"descriptive_n1_sex_confounded_depth_matched"
"Gm6133",TRUE,"ubiquitous_lenient",11,9,"-",-0.140783629740794,0.0201132378347657,0.92,FALSE,"18",FALSE,"Gm",FALSE,FALSE,FALSE,FALSE,-0.1849,-0.0729,-0.2193,-0.1526,-0.3344,-0.1408,-0.1361,-0.0201,-0.4097,-0.1234,-0.102,"descriptive_n1_sex_confounded_depth_matched"
"Eef1a1",TRUE,"ubiquitous_lenient",11,9,"+",0.138756194806918,0.097684784758866,1.23,FALSE,"9",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.2171,0.1235,0.0999,0.1066,0.155,0.1419,0.1406,0.1388,0.0977,0.1143,0.3514,"descriptive_n1_sex_confounded_depth_matched"
"Rps6-ps3",TRUE,"ubiquitous_lenient",11,9,"+",0.13780253765202,0.0435619990001619,0.42,FALSE,"9",FALSE,"ribo",FALSE,FALSE,FALSE,FALSE,0.0797,0.0436,0.1378,0.1678,0.1313,0.1469,0.1336,0.3439,0.1059,0.2165,0.2378,"descriptive_n1_sex_confounded_depth_matched"
"Lamtor2",TRUE,"ubiquitous_lenient",11,9,"-",-0.127376373987961,0.0689365998897521,1.32,FALSE,"3",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.1619,-0.1631,-0.1274,-0.1168,-0.1523,-0.103,-0.2162,-0.1227,-0.1777,-0.0689,-0.0789,"descriptive_n1_sex_confounded_depth_matched"
"Sidt1",TRUE,"ubiquitous_lenient",11,9,"-",-0.123929695128572,0.064551767655859,1.46,FALSE,"16",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.1008,-0.2607,-0.0646,-0.1867,-0.1029,-0.1482,-0.1054,-0.1842,-0.0656,-0.1542,-0.1239,"descriptive_n1_sex_confounded_depth_matched"
"AC154200.1",TRUE,"ubiquitous_lenient",11,10,"+",0.121682172065914,0.0717636319947716,1.13,FALSE,NA,FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.1716,0.1029,0.1506,0.1338,0.1153,0.0718,0.1727,0.1095,0.1162,0.1217,0.1869,"descriptive_n1_sex_confounded_depth_matched"
"Kdm5d",TRUE,"blocklist",11,0,"+",0.0508966737469216,0.0258557386591982,0.88,FALSE,"Y",TRUE,"other",FALSE,FALSE,TRUE,FALSE,0.0478,0.0499,0.0642,0.0509,0.0577,0.0554,0.0709,0.0691,0.0259,0.036,0.0374,"descriptive_n1_sex_confounded_depth_matched"
"Tsix",TRUE,"blocklist",2,0,"-",-0.0179284246540367,0.0135626506026715,0.61,FALSE,"X",TRUE,"other",FALSE,FALSE,FALSE,FALSE,-0.0071,-0.0136,-0.0073,-0.0223,-0.0106,-0.0125,-0.0071,-0.0234,-0.0065,-0.0056,-0.0104,"descriptive_n1_sex_confounded_depth_matched"
"Gt(ROSA)26Sor",TRUE,"blocklist",9,0,"mixed",-0.00695898295152766,0.00695898295152766,2.14,FALSE,"6",FALSE,"other",FALSE,FALSE,TRUE,FALSE,0.0612,0.0652,-0.007,-0.0393,0.005,-0.0296,0.0291,-0.0967,0.0125,-0.0193,0.0316,"descriptive_n1_sex_confounded_depth_matched"
"Tcf4",FALSE,"candidate_cm_dominant_kept",11,9,"+",0.706332001521052,0.040997571890975,5.05,TRUE,"18",FALSE,"other",FALSE,FALSE,TRUE,FALSE,2.406,2.2433,0.041,0.4606,0.1001,0.7063,0.1086,1.4244,0.0814,0.9408,2.5186,"descriptive_n1_sex_confounded_depth_matched"
"Gabbr2",FALSE,"candidate_not_removed",11,8,"+",0.450599661417273,0.0456603802497334,1.69,FALSE,"4",FALSE,"other",FALSE,FALSE,TRUE,FALSE,0.6935,0.6926,0.0457,0.5063,0.0593,0.4506,0.111,0.4091,0.0676,0.568,0.6229,"descriptive_n1_sex_confounded_depth_matched"
"Gm10263",FALSE,"candidate_not_removed",11,8,"-",-0.449693609891317,0.01324274561237,0.86,FALSE,"13",FALSE,"Gm",FALSE,FALSE,FALSE,FALSE,-0.7217,-0.0543,-0.6956,-0.0132,-0.9091,-0.0816,-0.5046,-0.1014,-0.8513,-0.1145,-0.4497,"descriptive_n1_sex_confounded_depth_matched"
"Atp5j2",FALSE,"candidate_not_removed",11,8,"-",-0.413299747906251,0.000811669899609901,0.99,FALSE,NA,FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.5833,-0.2324,-0.4748,-8e-04,-0.4307,-0.0044,-0.5287,-0.106,-0.4956,-0.0259,-0.4133,"descriptive_n1_sex_confounded_depth_matched"
"Atp5e",FALSE,"candidate_not_removed",11,7,"-",-0.404665485347851,0.00760884994263478,1.35,FALSE,NA,FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.6498,-0.4047,-0.5163,-0.0807,-0.5193,-0.0384,-0.3914,-0.0581,-0.5759,-0.0076,-0.4172,"descriptive_n1_sex_confounded_depth_matched"
"Ubl5",FALSE,"candidate_not_removed",11,8,"-",-0.262486915220184,0.0432809715838322,1.27,FALSE,"9",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.4079,-0.2573,-0.3921,-0.055,-0.2855,-0.0741,-0.3063,-0.1514,-0.3733,-0.0433,-0.2625,"descriptive_n1_sex_confounded_depth_matched"
"Cops9",FALSE,"candidate_not_removed",11,8,"-",-0.230890272165456,0.0348316884455491,1.62,FALSE,"1",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.4885,-0.2309,-0.3173,-0.0348,-0.3896,-0.0408,-0.2216,-0.0397,-0.3389,-0.1302,-0.3976,"descriptive_n1_sex_confounded_depth_matched"
"Rpl10",FALSE,"candidate_not_removed",11,8,"+",0.219916226541143,0.0799337321145813,0.51,FALSE,"X",TRUE,"ribo",FALSE,FALSE,FALSE,FALSE,0.1736,0.0799,0.2199,0.2472,0.3487,0.2776,0.0957,0.3301,0.2592,0.0836,0.1646,"descriptive_n1_sex_confounded_depth_matched"
"Gm2000",FALSE,"candidate_not_removed",11,7,"-",-0.219459191381955,0.0425974931388953,1.71,FALSE,NA,FALSE,"Gm",FALSE,FALSE,FALSE,FALSE,-0.4767,-0.2195,-0.4312,-0.0793,-0.5305,-0.0594,-0.569,-0.085,-0.6576,-0.0426,-0.2039,"descriptive_n1_sex_confounded_depth_matched"
"Gm9385",FALSE,"candidate_not_removed",11,7,"-",-0.204610846256175,0.00286190190322133,1.13,FALSE,"9",FALSE,"Gm",FALSE,FALSE,FALSE,FALSE,-0.413,-0.0484,-0.4236,-0.0333,-0.5968,-0.0029,-0.2046,-0.0694,-0.6088,-0.1095,-0.3914,"descriptive_n1_sex_confounded_depth_matched"
"Sin3b",FALSE,"candidate_not_removed",11,6,"+",0.194118176074872,0.000413346405087278,0.55,FALSE,"8",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.2142,4e-04,0.255,0.056,0.1941,0.0119,0.3073,0.0092,0.241,0.0581,0.2529,"descriptive_n1_sex_confounded_depth_matched"
"Gm29216",FALSE,"candidate_not_removed",11,7,"+",0.193968930748462,0.0089265130465368,1.42,FALSE,NA,FALSE,"Gm",FALSE,FALSE,FALSE,FALSE,0.072,0.4789,0.0485,0.194,0.0104,0.3523,0.1803,0.2263,0.0089,0.3065,0.228,"descriptive_n1_sex_confounded_depth_matched"
"Apoe",FALSE,"candidate_not_removed",11,8,"+",0.184138417517718,0.0650266107024715,0.45,FALSE,"7",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.1114,0.0842,0.2252,0.2194,0.1784,0.7724,0.1841,0.6984,0.065,0.0916,0.4119,"descriptive_n1_sex_confounded_depth_matched"
"Ndufa12",FALSE,"candidate_not_removed",11,6,"-",-0.180645447236621,0.00503597646660725,3.46,TRUE,"10",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.3194,-0.2766,-0.2123,-0.0447,-0.1826,-0.005,-0.0542,-0.0862,-0.1806,-0.0054,-0.2536,"descriptive_n1_sex_confounded_depth_matched"
"Gm10282",FALSE,"candidate_not_removed",11,7,"+",0.17979741567351,0.00926204760867599,0.86,FALSE,NA,FALSE,"Gm",FALSE,FALSE,FALSE,FALSE,0.264,0.0448,0.1587,0.1798,0.2785,0.2352,0.2986,0.0093,0.0724,0.0746,0.4159,"descriptive_n1_sex_confounded_depth_matched"
"Serf2",FALSE,"candidate_not_removed",11,6,"-",-0.176022520075551,0.0169629417628165,1.14,FALSE,"2",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.3171,-0.0854,-0.4085,-0.0331,-0.4046,-0.017,-0.2585,-0.0257,-0.3813,-0.0183,-0.176,"descriptive_n1_sex_confounded_depth_matched"
"Dpm3",FALSE,"candidate_not_removed",11,6,"-",-0.172564967671896,3.09618493843367e-05,1.02,FALSE,"3",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.2547,-0.0972,-0.3802,0,-0.4682,-0.097,-0.1726,-0.0312,-0.3952,-0.052,-0.2875,"descriptive_n1_sex_confounded_depth_matched"
"Srsf5",FALSE,"candidate_not_removed",11,8,"+",0.16325820520557,0.0240918553333569,0.47,FALSE,"12",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.1633,0.0284,0.1322,0.3531,0.1266,0.3361,0.2137,0.2039,0.045,0.2871,0.0241,"descriptive_n1_sex_confounded_depth_matched"
"Nptx2",FALSE,"candidate_not_removed",10,6,"-",-0.146576086730613,0.0157336410101841,1,FALSE,"5",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.2314,-0.0607,-0.1986,-0.0324,-0.1731,-0.034,-0.2214,-0.0143,-0.12,-0.0157,-0.2703,"descriptive_n1_sex_confounded_depth_matched"
"Myh7",FALSE,"candidate_cm_dominant_kept",11,10,"+",0.141766034974529,0.0814166860642396,3.71,TRUE,"14",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.3605,0.6803,0.1665,0.1402,0.0814,0.1361,0.1446,0.1418,0.1969,0.1064,0.1037,"descriptive_n1_sex_confounded_depth_matched"
"Gm10012",FALSE,"candidate_not_removed",11,8,"-",-0.140819448514145,0.0408723170842133,1.55,FALSE,NA,FALSE,"Gm",FALSE,FALSE,FALSE,FALSE,-0.3943,-0.0409,-0.3454,-0.1003,-0.3714,-0.0824,-0.1408,-0.0533,-0.364,-0.1296,-0.2639,"descriptive_n1_sex_confounded_depth_matched"
"Tnni1",FALSE,"candidate_not_removed",11,7,"+",0.140114916736556,0.0224566341000623,0.55,FALSE,"1",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.1401,0.0684,0.0225,0.1886,0.0694,0.2692,0.2361,0.218,0.0918,0.353,0.1337,"descriptive_n1_sex_confounded_depth_matched"
"Timm23",FALSE,"candidate_not_removed",11,8,"+",0.139775930959216,0.0114085589204997,0.63,FALSE,"14",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.1634,0.0114,0.1051,0.1857,0.198,0.0665,0.187,0.1398,0.044,0.1157,0.1833,"descriptive_n1_sex_confounded_depth_matched"
"Gm12918",FALSE,"candidate_not_removed",11,8,"+",0.138631057577468,0.0610453401212002,0.54,FALSE,"4",FALSE,"Gm",FALSE,FALSE,FALSE,FALSE,0.1386,0.0794,0.2509,0.1148,0.229,0.2484,0.1047,0.061,0.0885,0.2391,0.2022,"descriptive_n1_sex_confounded_depth_matched"
"Gm8624",FALSE,"candidate_not_removed",11,6,"-",-0.13338376056403,0.0176866241502851,2.01,FALSE,"11",FALSE,"Gm",FALSE,FALSE,FALSE,FALSE,-0.2544,-0.1334,-0.1636,-0.1735,-0.3091,-0.0963,-0.0177,-0.0774,-0.3909,-0.0788,-0.0307,"descriptive_n1_sex_confounded_depth_matched"
"Efcab8",FALSE,"candidate_not_removed",11,8,"+",0.128811327239836,0.0335677412233129,0.77,FALSE,"2",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.1641,0.035,0.159,0.1052,0.1893,0.096,0.2184,0.1069,0.1288,0.2208,0.0336,"descriptive_n1_sex_confounded_depth_matched"
"Sub1",FALSE,"candidate_not_removed",11,6,"-",-0.126898420928514,0.0135039235947878,1.08,FALSE,"15",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.2016,-0.0716,-0.22,-0.0178,-0.3258,-0.1468,-0.05,-0.0135,-0.3976,-0.0257,-0.1269,"descriptive_n1_sex_confounded_depth_matched"
"Pcna",FALSE,"candidate_not_removed",11,6,"+",0.125500748360518,0.045145068427111,1.39,FALSE,"2",FALSE,"other",TRUE,TRUE,FALSE,FALSE,0.1449,0.1255,0.0685,0.1499,0.0837,0.156,0.1296,0.0451,0.0976,0.0731,0.3037,"descriptive_n1_sex_confounded_depth_matched"
"Pabpc1",FALSE,"candidate_not_removed",11,7,"-",-0.12490677987538,0.061632507038988,0.68,FALSE,"15",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.1209,-0.0813,-0.2216,-0.0955,-0.2627,-0.2019,-0.0616,-0.1483,-0.3272,-0.1249,-0.0751,"descriptive_n1_sex_confounded_depth_matched"
"Ube2i",FALSE,"candidate_not_removed",11,7,"+",0.122053447582362,0.0647923768211309,0.88,FALSE,"17",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.1452,0.0687,0.0951,0.0968,0.0648,0.1737,0.1456,0.1334,0.1221,0.107,0.156,"descriptive_n1_sex_confounded_depth_matched"
"C1d",FALSE,"candidate_not_removed",11,7,"+",0.120327954496865,0.00112767537793462,0.7,FALSE,"11",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.1405,0.0268,0.1205,0.1203,0.1456,0.1488,0.1263,0.0011,0.1093,0.0693,0.0973,"descriptive_n1_sex_confounded_depth_matched"
"Cfl1",FALSE,"candidate_not_removed",11,7,"+",0.118410307473709,0.00304191852774416,0.73,FALSE,"19",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.1285,0.0445,0.1308,0.003,0.1627,0.1184,0.2447,0.0479,0.1045,0.0423,0.2055,"descriptive_n1_sex_confounded_depth_matched"
"Rpl22",FALSE,"candidate_not_removed",11,7,"-",-0.118213984572634,0.00149679312480799,2.08,FALSE,"4",FALSE,"ribo",FALSE,FALSE,FALSE,FALSE,-0.3575,-0.1182,-0.3776,-0.0947,-0.4106,-0.0015,-0.3876,-0.0783,-0.5103,-0.0095,-0.1145,"descriptive_n1_sex_confounded_depth_matched"
"Rbbp7",FALSE,"candidate_not_removed",11,7,"+",0.115165122509141,0.00238702768961918,1.18,FALSE,"X",TRUE,"other",FALSE,TRUE,FALSE,FALSE,0.2389,0.0325,0.0957,0.1179,0.1432,0.1152,0.1257,0.0024,0.2002,0.0354,0.1073,"descriptive_n1_sex_confounded_depth_matched"
"Arpc2",FALSE,"candidate_not_removed",11,7,"+",0.112100177570934,0.0265356067149753,1.3,FALSE,"1",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.2294,0.0617,0.1121,0.0265,0.1623,0.1032,0.0978,0.0775,0.1746,0.1357,0.1977,"descriptive_n1_sex_confounded_depth_matched"
"Prpf19",FALSE,"candidate_not_removed",11,6,"+",0.11071386818106,0.0038167815906025,1.32,FALSE,"19",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.2895,0.0038,0.1107,0.0514,0.1781,0.0607,0.3407,0.071,0.1257,0.186,0.0686,"descriptive_n1_sex_confounded_depth_matched"
"Mcm6",FALSE,"candidate_not_removed",11,6,"+",0.10993160699743,0.00188955188531575,0.94,FALSE,"1",FALSE,"other",TRUE,TRUE,FALSE,FALSE,0.0804,0.127,0.0348,0.0775,0.1188,0.1101,0.1099,0.0019,0.1282,0.0719,0.1519,"descriptive_n1_sex_confounded_depth_matched"
"Ccnd2",FALSE,"candidate_not_removed",11,6,"-",-0.109899736553412,0.00953288890641679,0.74,FALSE,"6",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0203,-0.1429,-0.1099,-0.0095,-0.13,-0.146,-0.118,-0.0989,-0.0477,-0.2903,-0.0144,"descriptive_n1_sex_confounded_depth_matched"
"Sdcbp",FALSE,"candidate_not_removed",11,6,"+",0.109381890966706,0.0152086260407283,0.84,FALSE,"4",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.1675,0.0154,0.0868,0.0152,0.1094,0.0742,0.0183,0.2561,0.1176,0.1591,0.2749,"descriptive_n1_sex_confounded_depth_matched"
"Gm5121",FALSE,"candidate_not_removed",11,7,"-",-0.108862079664588,0.0206193197727286,1.05,FALSE,"9",FALSE,"Gm",FALSE,FALSE,FALSE,FALSE,-0.17,-0.0577,-0.1831,-0.0402,-0.2542,-0.1321,-0.0984,-0.1001,-0.2694,-0.0206,-0.1089,"descriptive_n1_sex_confounded_depth_matched"
"Eif2s3x",FALSE,"candidate_not_removed",11,7,"-",-0.106764330112218,0.0655252172083485,1.08,FALSE,"X",TRUE,"other",FALSE,FALSE,FALSE,FALSE,-0.0655,-0.1658,-0.1103,-0.1288,-0.1056,-0.181,-0.2523,-0.0681,-0.0659,-0.1068,-0.0879,"descriptive_n1_sex_confounded_depth_matched"
