ID,Rule,Weight,n,EC50,evidence
r074,E2Fact => Centralspindlin,0.90,1.4,0.35,Racgap1/Kif23 are FLAT - driven by E2F activity only. This is the specificity claim.
r075,E2Fact => AurKB,0.85,1.4,0.35,Aurkb is flat/up - no maturation term.
r076,E2Fact => Anillin,0.85,1.4,0.35,Anln is flat - no maturation term.
r077,RhoA & Anillin => Midbody,1.00,1.4,0.35,"Furrow -> midbody, with RhoA OBLIGATORY. An earlier version OR'd a second route (Centralspindlin & AurKB) onto this node; that bypassed the Ect2/RhoA arm entirely and made it impossible for Ect2 to be rate-limiting, which is the model's central claim. Centralspindlin and AurKB are now declared MARKERS rather than drivers - their role in the argument is precisely that they stay flat while Ect2 falls."
r079,Midbody & !PKA => AbsRaw,1.00,1.4,0.35,"Transduction class (EC50=0.35), amplifying: at 0.50 this four-hop arm attenuated E2F activity of ~0.4 down to ~0.02 at AbsRaw. Liu 2019: beta-AR/PKA blocks CM cytokinesis. RhoA is deliberately NOT a second multiplicand here - it already gates the furrow route in r077, and using it twice double-counts one piece of evidence."
r080,AbsRaw => Abscission,1.00,2.0,0.090,"Sharpening gate; the knob is the WEIGHT, target 0.5028 at hiPSC. n and EC50 are chosen so the switch sits inside the arm's operating range: with RhoA obligatory, AbsRaw spans 42x between hiPSC (0.140) and mouse P1 (0.0033), and this switch maps that to 0.71 vs 0.001. That is the modelling commitment behind the central claim - abscission is rate-limiting because the switch sits where the Ect2/RhoA arm sits. It is also the model's largest single sensitivity, and the switch POSITION is a fitted quantity, not an evidence-derived one."
r081,SPhase => Ki67,0.95,1.4,0.35,"Mki67 2.28 in cycling vs 0.02 in noncycling. Ki-67 is a PREVALENCE observable, so it tracks SPhase alone. An earlier version OR'd a MitoticEntry term onto it, which is dimensionally wrong - MitoticEntry is a per-cell conditional competence, not a fraction - and because that node is near-saturated it pinned the Ki-67 fold at ~1.1x."
r083,!SPhase => Quiescent,1.00,1.4,0.40,"Murganti Fig 2: Q=90.35%. Complementary-product fate idiom - see spec.py."
r084,SPhase & MitoticEntry & Abscission => Division,1.00,1.4,0.40,D=5.09%.
r085,SPhase & MitoticEntry & !Abscission => Binucleation,1.00,1.4,0.40,"B=3.16%. Mitosis happens, the furrow fails."
r086,SPhase & !MitoticEntry => Polyploidization,1.00,1.4,0.40,"P=1.40%. G2 arrest - APC/C never fires, no envelope breakdown."
